State,#resist,#deleteuber,#boycottstarbucks,#faketears
Georgia,16,17,23,31
Arizona,11,3,24,8
Pennsylvania,27,13,19,18
Illinois,38,23,26,23
Ohio,15,3,24,26
Indiana,7,4,6,3
South Carolina,4,3,5,12
Maryland,11,10,4,4
Florida,38,24,76,81
Colorado,22,6,15,9
Rhode Island,3,0,1,0
Nebraska,3,0,1,2
Missouri,4,2,13,3
Alabama,6,0,13,11
Oregon,29,7,3,6
Arkansas,4,0,2,5
North Carolina,25,8,18,14
Iowa,4,2,0,1
New Jersey,15,6,22,16
Vermont,0,2,1,0
Wyoming,0,0,1,1
Mississippi,1,0,5,3
Virginia,12,10,19,12
Nevada,4,7,12,6
North Dakota,0,0,3,1
Hawaii,1,0,2,8
Montana,5,1,4,0
Louisiana,5,6,7,14
Minnesota,8,4,6,4
Tennessee,7,8,16,18
Connecticut,6,2,7,6
Oklahoma,3,1,7,9
Massachusetts,19,12,11,6
Alaska,3,2,2,2
California,133,124,102,70
Michigan,11,14,9,17
Washington,32,15,13,4
South Dakota,1,1,0,2
Idaho,1,2,8,0
Kansas,1,0,3,2
Texas,73,16,77,78
Utah,3,6,6,7
Wisconsin,8,3,2,8
West Virginia,4,0,1,3
Delaware,6,4,3,2
Maine,4,0,1,3
New York,79,72,54,62
New Mexico,1,3,5,4
New Hampshire,4,0,7,3
Kentucky,5,0,7,12
