State,#resist,#deleteuber,#boycottstarbucks,#faketears
North Carolina,24,15,17,14
Delaware,3,1,3,2
Florida,31,21,67,81
Oklahoma,3,2,6,9
Wisconsin,8,8,2,8
West Virginia,4,0,0,3
Mississippi,1,0,4,3
Iowa,3,3,0,1
Arizona,11,15,22,8
Texas,70,44,71,78
Rhode Island,3,2,1,0
Michigan,10,15,9,17
Maine,3,2,1,3
Pennsylvania,21,20,17,18
Washington,30,17,11,3
Utah,3,9,5,7
South Dakota,1,1,0,2
Massachusetts,15,18,9,6
Colorado,20,19,15,9
New York,70,100,51,60
Illinois,32,27,22,22
Nevada,4,3,12,6
Alabama,5,1,12,11
Arkansas,3,0,2,5
Connecticut,6,4,7,6
Virginia,10,19,18,12
Alaska,3,0,2,2
Maryland,7,8,4,4
New Mexico,1,6,5,4
Louisiana,4,8,6,14
Kentucky,4,2,7,12
Hawaii,1,0,2,8
Indiana,6,4,6,3
Kansas,1,5,3,2
South Carolina,4,14,4,12
Oregon,24,11,3,7
California,117,141,93,70
Wyoming,0,1,1,1
Tennessee,7,6,14,18
Idaho,1,3,7,0
North Dakota,0,0,3,1
Nebraska,3,1,1,2
New Jersey,12,11,21,16
Minnesota,8,5,5,4
Ohio,14,11,20,26
Missouri,3,3,13,3
Georgia,14,26,21,31
Vermont,0,3,1,0
Montana,4,1,4,0
New Hampshire,5,1,7,3
